filename,num_words,ttr,gawl,gfw,big,trig,pos
Apex Legends.txt,39,0.8461538461538461,6.205128205128205,shooter | hero | strategic | squad | royale | roster | respawn | powerful | play | next,hero shooter | with powerful | the next | the awardwinning | strategic squad | squad play | shooter from | shooter and | roster of | respawn entertainment,with powerful abilities | the next evolution | the awardwinning freetoplay | strategic squad play | squad play and | shooter from respawn | shooter and battle | royale apex legends | roster of legendary | respawn entertainment master,NNP | NN | JJ | IN | DT | CC | NNS | VBZ
Call of Duty Black Ops 6.txt,27,0.8518518518518519,5.62962962962963,ops | black | zombies | single-player | signature | round-based | return | multiplayer | experience | epic,black ops | with the | the epic | singleplayer campaign | signature black | roundbased zombies | return of | ops across | ops 6 | of roundbased,zombies call of | with the epic | the epic return | singleplayer campaign a | signature black ops | return of roundbased | ops across a | ops 6 is | of roundbased zombies | of dutyâ® black,NNP | JJ | NN | IN | DT | VBZ | NNS | CD | CC
Call of Duty Warzone.txt,23,0.9130434782608695,6.217391304347826,features | welcome | warzoneâ„¢ | urzikstan | updated | thrilling | rebirth | modes | massive | island,which features | welcome to | warzoneâ„¢ the | urzikstan rebirth | updated gameplay | to call | thrilling modes | the massive | rebirth island | of dutyâ®,which features urzikstan | welcome to call | warzoneâ„¢ the massive | urzikstan rebirth island | updated gameplay features | to call of | thrilling modes and | the massive freetoplay | rebirth island and | of dutyâ® warzoneâ„¢,NNP | NN | VB | NNS | JJ | CC | WDT | VBZ | VBG | TO
Counter-Strike 2.txt,38,0.8947368421052632,4.7894736842105265,counter-strike | two | story | shaped | players | one | offered | next | millions | globe,two decades | to begin | this is | the next | the globe | the cs | story is | shaped by | players from | over two,two decades counterstrike | to begin this | this is counterstrike | the next chapter | the globe and | the cs story | story is about | shaped by millions | players from across | over two decades,IN | DT | NN | JJ | VBZ | NNS | CD | VBN | NNP | VB
Hunt Showdown 1896.txt,48,0.9375,5.270833333333333,â€“ | hunt | unforgiving | twisted | timeless | stand | showdown | shooter | ruthless | risk,â€“ or | â€“ against | your bounty | you and | with friends | unforgiving extraction | twisted monsters | to history | timeless evil | the addictively,â€“ or with | â€“ against timeless | your bounty risk | you hunt showdown | you and your | with friends â€“ | unforgiving extraction shooter | twisted monsters and | to history fight | timeless evil twisted,NN | NNP | IN | JJ | RB | NNS | CC | VBZ | PRP | DT
Overwatch 2.txt,28,0.8928571428571429,4.821428571428571,today | team-based | team | shooter | set | roster | overwatch | optimistic | jump | heroes,with friends | with an | up with | teambased shooter | team up | shooter game | set in | roster of | overwatch 2 | optimistic future,with friends and | with an evolving | up with friends | today overwatch 2 | teambased shooter game | team up with | shooter game set | set in an | roster of heroes | overwatch 2 is,NN | IN | DT | VBN | RB | NNS | JJ | VBZ | VBG | NNP
Quake Champions.txt,35,0.8,5.142857142857143,quake | arena | world | step | skill-based | shooter | players | original | mythos | iii,world in | with the | this fastpaced | the world | the skillbased | the original | the dark | the arena | that combines | step into,world in this | with the skillbased | this fastpaced shooter | the world in | the skillbased competition | the original quake | the dark mythos | the arena compete | that combines the | step into the,IN | NN | DT | NNP | JJ | WDT | VBZ | NNS
Team Fortress 2.txt,24,0.9583333333333334,5.875,updated | tactical | range | provide | personalities | nine | new | modes | maps | importantly,with new | updated with | tactical abilities | range of | provide a | personalities constantly | of tactical | nine distinct | new game | most importantly,with new game | updated with new | tactical abilities and | range of tactical | provide a broad | personalities constantly updated | of tactical abilities | nine distinct classes | new game modes | most importantly hats,NNS | JJ | VBP | NN | NNP | IN | CC | VBD | RB | JJS
THE FINALS.txt,39,0.9230769230769231,5.846153846153846,world-famous | win | virtual | tournaments | teammates | show | shooter | playstyle | lasting | join,your teammates | your own | you can | worldfamous freetoplay | win escalating | virtual arenas | tournaments and | to win | this firstperson | the worldfamous,your teammates in | your own playstyle | you can alter | worldfamous freetoplay combatcentered | win escalating tournaments | virtual arenas that | tournaments and lasting | to win escalating | this firstperson shooter | the worldfamous freetoplay,JJ | NN | VB | NNS | NNP | IN | DT | RB | PRP$ | CC
Tom Clancy's Rainbow Six Siege.txt,17,1.0,6.0,triumph | tom | team-based | tactical | superior | sixâ® | siege | shooter | rainbow | planning,where superior | tom clancys | teambased shooter | tactical teambased | superior planning | sixâ® siege | siege is | shooter where | rainbow sixâ® | planning and,where superior planning | triumph tom clancys | tom clancys rainbow | teambased shooter where | tactical teambased shooter | superior planning and | sixâ® siege is | siege is an | shooter where superior | rainbow sixâ® siege,NNP | NN | JJ | WRB | VBZ | DT | CC
data/Competative FPS,31.8,0.6572327044025157,5.528301886792453,shooter | game | free-to-play | experience | arena | â€“ | updated | team-based | tactical | roster,with the | with friends | the next | teambased shooter | roster of | players from | of the | of dutyâ® | is a | in this,call of dutyâ® | â€“ or with | â€“ against timeless | zombies welcome to | your teammates in | your own playstyle | your bounty risk | you overwatch 2 | you can alter | you and your,NNP | NN | JJ | IN | DT | NNS | CC | VBZ | RB | CD
