filename,num_words,ttr,gawl,gfw,big,trig,bignofun,trignofun,pos
Bloody_Knuckles_Street_Boxing.txt,6,0.8333333333333334,5.166666666666667,sweet | streets | science | meets,the sweet | the streets | sweet science | science meets | meets the,the sweet science | sweet science meets | streets the sweet | science meets the | meets the streets,the sweet | the streets | sweet science | science meets | meets the,the sweet science | sweet science meets | streets the sweet | science meets the | meets the streets,NNP | DT
Broken_Edge.txt,44,0.9090909090909091,4.2727272727272725,warriors | vr | victory | valiant | untamed | sword | samurai | rnin | one | knight,you embody | where you | warriors in | vr fantasy | victory in | valiant knight | untamed rnin | to come | the arena | the 5,you embody iconic | where you embody | warriors in deadly | vr fantasy sword | victory in the | valiant knight an | untamed rnin or | the arena as | the 5 other | sword fighting game,warriors in | warriors deadly | vr fantasy | victory the | victory in | victory arena | valiant knight | untamed rnin | sword fighting | samurai valiant,you embody iconic | where game embody | warriors warriors deadly | vr fantasy sword | victory victory the | valiant knight an | untamed rnin or | the arena as | the 5 other | sword fighting game,NNP | NN | DT | JJ | IN | NNS | CD | VBP | WRB | VBZ
Celebrity_Kombat.txt,45,0.8888888888888888,4.777777777777778,unique | special | settle | score | roster | ready | prepare | personality | offers | made,your favorite | you ready | you a | with special | with a | unique chance | to settle | to fight | to battle | the score,your favorite personality | you ready to | you a unique | with special abilities | with a diverse | unique chance to | to settle the | to fight as | to battle are | special abilities prepare,with diverse | with a | unique chance | special abilities | settle the | settle score | roster of | roster characters | ready to | ready settle,your favorite personality | you ready to | you offers unique | with with diverse | with special abilities | unique chance to | to settle the | to fight as | to battle are | special abilities prepare,NN | JJ | IN | DT | TO | PRP | VBZ | VB | NNS | NNP
Clone_Drone_in_the_Danger_Zone.txt,38,0.8421052631578947,4.394736842105263,robot | zone | voxel | trials | survive | sliced | slice-em-up | sinister | part | must,a robot | zone is | your mind | your body | you must | with your | where any | voxel sliceemup | trials of | the sinister,zone is a | your mind downloaded | your body can | you must survive | with your mind | where any part | voxel sliceemup where | trials of the | the sinister trials | the danger zone,zone robot | zone is | zone a | with your | with mind | voxel sliceemup | trials the | trials of | trials arena | survive the,zone zone a | your mind downloaded | your body can | you must survive | with with mind | where sliceemup part | voxel sliceemup where | trials trials the | the sinister trials | the danger zone,NN | DT | IN | NNP | VB | PRP$ | MD | WRB | VBZ | VBN
Cyberpunk_SFX.txt,50,0.84,3.88,you値l | yes | way | want | sure | start | spectacular | solving | show | sense,you値l have | you want | yes she | with rockets | what can | want to | to start | to show | to make | the way,you値l have to | you want to | yes she is | with rockets and | what can be | way what can | want to make | to start solving | to show her | to make sure,you値l to | you値l show | you値l have | yes to | yes start | yes she | yes is | yes about | what spectacular | what more,you値l you値l to | you want to | yes yes is | with rockets and | what what be | way what can | want want make | to start solving | to show her | to make sure,NN | DT | JJ | IN | VB | TO | PRP | NNS | VBZ | VBP
DAVIGO_VR_vs_PC.txt,37,0.8378378378378378,4.1891891891891895,vr | pc | davigo | vs | small | play | physics-based | pass | online | matches,your friends | with davigo | vs pc | vr vs | vr or | the giant | small knight | play for | physicsbased battle | pc physicsbased,your friends in | with davigo knights | vs pc physicsbased | vr vs pc | vr or a | the giant in | small knight on | play for free | physicsbased battle game | pc physicsbased battle,vs pc | vr vs | vr small | vr or | vr a | small knight | play free | play for | physicsbased battle | pc physicsbased,your friends in | with davigo knights | vs pc physicsbased | vr vs pc | vr vr a | the giant in | small knight on | play play free | physicsbased battle game | pc physicsbased battle,NNP | JJ | IN | NN | DT | CC | NNS | VBZ | VB | PRP$
DEAD_OR_ALIVE_6.txt,27,1.0,5.814814814814815,truly | tecmo | stunning | stages | produced | multi-tiered | koei | graphics | games | game,truly entertaining | that create | tecmo games | stunning graphics | stages that | produced by | or alive | multitiered stages | koei tecmo | is fastpaced,truly entertaining competitive | that create a | tecmo games featuring | stunning graphics and | stages that create | produced by koei | or alive 6 | multitiered stages that | koei tecmo games | is fastpaced 3d,truly entertaining | tecmo games | stunning graphics | stages that | stages create | produced koei | produced by | or alive | multitiered stages | koei tecmo,truly entertaining competitive | that create a | tecmo games featuring | stunning graphics and | stages stages create | produced produced koei | or alive 6 | multitiered stages that | koei tecmo games | is fastpaced 3d,NNP | JJ | VBG | NNS | NN | CD | WDT | VBZ | VBP | VBN
Demon_Slayer_Kimetsu_no_Yaiba_The_Hinokami_Chronicles.txt,6,1.0,5.5,destroys | demons | blade | become,the blade | that destroys | destroys demons | blade that | become the,the blade that | that destroys demons | demons become the | blade that destroys | become the blade,destroys demons | blade that | blade destroys | become the | become blade,the blade that | that destroys demons | demons become the | blade blade destroys | become become blade,NNP | WDT | VBZ | VB | DT
DRAGON_BALL_Sparking_ZERO.txt,35,0.8571428571428571,5.085714285714285,dragon | ball | zero | whole | tenkaichi | takes | strongest | sparking | series | raises,of the | dragon ball | zero takes | yours the | whole new | to whole | to appear | the strongest | the legendary | the destructive,zero takes the | yours the destructive | whole new levels | to whole new | to appear in | the strongest fighters | the legendary gameplay | the destructive power | the budokai tenkaichi | tenkaichi series and,dragon ball | zero takes | whole new | tenkaichi series | takes the | takes legendary | strongest fighters | sparking zero | series raises | series and,zero takes the | yours make destructive | whole new levels | to whole new | to appear in | the strongest fighters | the legendary gameplay | the destructive power | the budokai tenkaichi | tenkaichi series and,NNP | DT | VBZ | NN | JJ | IN | VB | TO | NNS | VBP
Dragon_Fist_VR_Kung_Fu.txt,41,0.9512195121951219,5.2926829268292686,vr | style | single-player | pvp | play | physics-based | pays | others | mode | martial,with highfidelity | with friends | vr kung | to the | the golden | that pays | style that | singleplayer adventures | pvp battles | play with,with highfidelity physicsbased | with friends in | vr kung fu | to the golden | the golden era | that pays homage | style that pays | pvp battles or | play with friends | physicsbased combat and,vr kung | style that | style pays | singleplayer adventures | pvp battles | play with | play friends | physicsbased combat | pays homage | others pvp,with highfidelity physicsbased | with friends in | vr kung fu | to homage golden | the golden era | that pays homage | style style pays | pvp battles or | play play friends | physicsbased combat and,NN | JJ | NNS | NNP | IN | DT | CC | WDT | VBZ | VBP
