filename,num_words,ttr,gawl,gfw,big,trig,bignofun,trignofun,pos
Backpack_Battles_Demo.txt,18,1.0,5.388888888888889,pvp | powerful | management | items | inventory | craft | carefully | buy | battler | backpack,your backpack | then carefully | them in | pvp inventory | powerful items | management auto | items then | inventory management | in your | craft powerful,then carefully arrange | them in your | pvp inventory management | powerful items then | management auto battler | items then carefully | inventory management auto | in your backpack | craft powerful items | carefully arrange them,pvp inventory | powerful items | management auto | items then | items carefully | inventory management | craft powerful | carefully arrange | buy craft | buy and,then carefully arrange | them arrange your | pvp inventory management | powerful items then | management auto battler | items items carefully | inventory management auto | in arrange backpack | craft powerful items | carefully arrange them,NN | RB | NNP | VB | PRP$ | PRP | NNS | JJ | IN | DT
Barony.txt,43,0.8604651162790697,5.27906976744186,wits | unusual | test | rpg | roguelike | resourcefulness | quest | premier | play | party,your resourcefulness | your quest | wits and | with iconic | with cooperative | unusual rpg | to lift | to face | the premier | the evil,your resourcefulness wits | your quest to | wits and friendships | with iconic and | with cooperative play | unusual rpg classes | to lift the | to face off | the premier firstperson | the evil lichs,wits friendships | wits and | unusual rpg | test your | test resourcefulness | rpg classes | roguelike with | roguelike cooperative | resourcefulness wits | quest to,your resourcefulness wits | your quest to | wits wits friendships | with iconic and | with cooperative play | unusual rpg classes | to lift the | to face off | the premier firstperson | the evil lichs,JJ | NN | NNS | IN | DT | VB | NNP | CC | TO | PRP$
Brotato.txt,43,0.8372093023255814,4.395348837209302,wielding | weapons | variety | unique | traits | top-down | time | survive | shooter | roguelite,you play | wielding up | where you | weapons at | variety of | up to | until help | unique builds | traits and | topdown arena,you play a | wielding up to | where you play | weapons at a | variety of traits | up to 6 | until help arrives | unique builds and | traits and items | topdown arena shooter,wielding up | wielding to | wielding 6 | weapons time | weapons at | weapons a | variety traits | variety of | unique builds | traits items,you play a | wielding wielding to | where roguelite play | weapons weapons a | variety variety traits | up wielding 6 | until help arrives | unique builds and | traits traits items | topdown arena shooter,NN | NNS | IN | DT | TO | VB | RP | NNP | JJ | CC
Buckshot_Roulette.txt,19,0.9473684210526315,4.631578947368421,two | shotgun | russian | roulette | roll | play | one | luck | life | leaves,your life | with your | with a | two enter | the dice | shotgun two | russian roulette | roulette with | roll the | play russian,your life good | with your life | with a 12gauge | two enter one | the dice with | shotgun two enter | russian roulette with | roulette with a | roll the dice | play russian roulette,two enter | shotgun two | russian roulette | roulette with | roulette a | roulette 12gauge | roll the | roll dice | play russian | one leaves,your life good | with roulette 12gauge | with dice life | two enter one | the dice with | shotgun two enter | russian roulette with | roulette roulette a | roll roll dice | play russian roulette,NN | NNP | IN | DT | CD | VBZ | PRP$ | NNS | JJ
Chrono_Ark.txt,28,0.9285714285714286,5.642857142857143,world | unique | twisted | train | team | singleplayer | rpgs | roguelike | restore | recruit,unique investigators | twisted world | train and | to restore | the twisted | that combines | team of | singleplayer roguelike | rpgs recruit | roguelike that,world chrono ark | unique investigators to | train and build | to restore the | the twisted world | that combines elements | team of unique | singleplayer roguelike that | rpgs recruit train | roguelike that combines,unique investigators | twisted world | train build | train and | team unique | team of | singleplayer roguelike | rpgs recruit | roguelike that | roguelike combines,world chrono ark | unique investigators to | train train build | to restore the | the twisted world | that combines elements | team team unique | singleplayer roguelike that | rpgs recruit train | roguelike roguelike combines,NNP | NN | NNS | DT | VBZ | VB | JJ | IN | CC | WDT
Claymores_of_the_Lost_Kingdom.txt,49,0.8775510204081632,4.795918367346939,unique | strong | sandbox | rpg | roguelike | progression | open | level | infused | increase,your unique | your hero | your attributes | you an | with classless | we infused | up hunt | unique build | to give | to face,your unique build | your hero and | your attributes to | you an open | with classless rpg | we infused a | up hunt bandits | unique build level | to give you | to face the,we infused | unique build | strong enough | sandbox adventure | rpg progression | roguelike deckbuilder | progression to | progression give | open sandbox | level up,your unique build | your hero and | your attributes to | you give open | with classless rpg | we infused a | up hunt bandits | unique build level | to give you | to face the,NN | NNP | VB | JJ | DT | TO | PRP$ | NNS | IN | RB
Cobalt_Core.txt,39,0.9487179487179487,4.487179487179487,time | tactics | spin | sky. | single-axis | sci-fi | roguelike | new | missiles | loops,your cannons | with a | up your | too late | to the | time loops | these time | then get | the sky | the bottom,your cannons and | with a deep | up your cannons | to the bottom | time loops before | these time loops | then get to | the sky then | the bottom of | tactics games dodge,time loops | then get | tactics games | spin tactics | spin on | sky then | singleaxis spin | scifi roguelike | roguelike deckbuilder | new singleaxis,your cannons and | with deckbuilder deep | up line cannons | to get bottom | time loops before | these time loops | then get to | the sky then | the bottom of | tactics games dodge,NN | IN | JJ | DT | NNS | VB | RB | VBZ | TO | PRP$
Coffee_Caravan.txt,42,0.8809523809523809,5.666666666666667,coffee | wheels | unlock | trip | serve | roguelite | road | recipes | purchase | procedurally,your procedurally | your dream | your coffee | with delicious | wheels serve | unlock new | trip in | this roguelite | serve customers | roguelite experience,your procedurally generated | your dream coffee | your coffee passion | with delicious recipes | wheels serve customers | unlock new flavors | trip in this | this roguelite experience | serve customers unlock | road trip in,wheels serve | unlock new | trip this | trip roguelite | trip in | serve customers | roguelite experience | road trip | recipes build | recipes and,your procedurally generated | your dream coffee | your coffee passion | with delicious recipes | wheels serve customers | unlock new flavors | trip trip this | this roguelite experience | serve customers unlock | road trip in,NN | NNS | IN | NNP | JJ | PRP$ | VB | DT | CC | VBP
Commander_Quest_Demo.txt,43,0.9069767441860465,5.488372093023256,game | victory | unit | synergy | strategy | roguelike | powerful | lead | kind | found,your army | you just | unit counters | to victory | then lead | then create | the boundaries | the battlefield | that combines | synergy by,your army to | you just found | victory congratulations you | unit counters then | then lead your | then create powerful | the boundaries between | the battlefield and | that combines deckbuilding | synergy by breaking,you just | you found | unit counters | synergy by | synergy breaking | strategy game | roguelike that | roguelike combines | powerful synergy | one of,your army to | you you found | victory congratulations you | unit counters then | then lead your | then create powerful | the boundaries between | the battlefield and | that combines deckbuilding | synergy synergy breaking,NN | DT | RB | NNS | IN | VBG | VB | NNP | JJ | CC
Crab_Champions.txt,26,0.9615384615384616,5.269230769230769,way | third | shooter | roguelike | person | paced | movement | islands | fluid | fast,your way | with roguelike | with fast | way across | to become | this third | third person | shooter with | roguelike elements | person shooter,your way across | with roguelike elements | with fast paced | way across exotic | to become a | this third person | third person shooter | shooter with roguelike | person shooter with | paced combat to,way across | third person | shooter with | shooter roguelike | roguelike elements | person shooter | paced combat | movement with | movement fast | islands combining,your way across | with roguelike elements | with fast paced | way across exotic | to become a | this third person | third person shooter | shooter shooter roguelike | person shooter with | paced combat to,NN | JJ | IN | NNS | DT | VBG | VBD | VB | TO | PRP$
