filename,num_words,ttr,gawl,gfw,big,trig,bignofun,trignofun,pos,collocations
Age_of_Empires_II_Definitive_Edition.txt,37,0.8378378378378378,5.486486486486487,new | features | â€œthe | updates | recent | modes | mode | last | khansâ€ | include,â€œthe last | with the | with 3 | updates include | the recent | recent addition | of empires | of coop | new game | new civilizations,â€œthe last khansâ€ | with the recent | with 3 new | updates include events | the recent addition | recent addition of | of empires ii | of coop mode | new game modes | new civilizations frequent,â€œthe last | updates include | recent addition | new game | new civilizations | new campaigns | modes enhanced | modes and | last khansâ€ | khansâ€ with,â€œthe last khansâ€ | with features recent | with 3 new | updates include events | the recent addition | recent addition of | of empires ii | of coop mode | new game modes | new civilizations frequent,NNP | JJ | NNS | IN | NN | VBZ | CD | CC | VBP | VBD,"[('Civilizations', 'Frequent'), ('Definitive', 'Edition'), ('Frequent', 'updates'), ('Last', 'Khansâ'), ('additional', 'content'), ('events', 'additional'), ('game', 'modes'), ('include', 'events'), ('recent', 'addition'), ('updates', 'include')]"
Age_of_Empires_IV_Anniversary_Edition.txt,39,0.8717948717948718,5.6923076923076925,year | world | strategy | shaped | putting | players | millions | iv | historical | global,you at | year of | with age | the world | the center | the awardwinning | that shaped | strategy franchise | shaped the | putting you,you at the | year of delighting | world celebrating its | with age of | the center of | the awardwinning and | that shaped the | strategy franchise continues | shaped the world | putting you at,year of | year delighting | strategy franchise | shaped world | shaped the | putting you | putting the | putting center | putting at | players the,you putting the | year year delighting | world celebrating its | with age of | the center of | the awardwinning and | that shaped the | strategy franchise continues | shaped shaped world | putting putting at,JJ | IN | NNP | NN | VBG | NNS | DT | WDT | VBZ | VBD,"[('Anniversary', 'Edition'), ('Edition', 'putting'), ('award', 'winning'), ('best', 'selling'), ('delighting', 'millions'), ('epic', 'historical'), ('first', 'year'), ('franchise', 'continues'), ('global', 'players'), ('historical', 'battles')]"
Age_of_History_3.txt,47,0.851063829787234,5.0638297872340425,age | wargame | united | strategy | stand | saga | rests | legacy | leadership | journey,your legacy | your leadership | your hands | will they | where the | wargame where | united under | under your | to the | through the,your legacy age | your leadership or | your hands  | will they stand | where the destiny | wargame where the | united under your | under your leadership | to the futuristic | through the entire,wargame where | wargame the | wargame destiny | united your | united under | united leadership | strategy wargame | stand united | saga of | saga human,your legacy age | your leadership or | your hands  | will  stand | where wargame destiny | wargame wargame the | united united your | under united leadership | to days futuristic | through journey entire,NN | IN | PRP$ | JJ | NNS | NNP | DT | WRB | VBN | VBG,"[('Civilizations', 'rests'), ('Grand', 'strategy'), ('conflict', 'Journey'), ('earliest', 'days'), ('entire', 'saga'), ('era', 'crafting'), ('fall', 'divided'), ('futuristic', 'era'), ('human', 'civilization'), ('stand', 'united')]"
Age_of_Mythology_Retold.txt,27,0.8518518518518519,5.148148148148148,age | retold | mythology | mythical | monsters | humans | history | goes | gods | franchise,age of | where gods | to a | the creators | the awardwinning | retold goes | of the | of mythology | of empires | mythology retold,where gods monsters | to a mythical | the creators of | the awardwinning age | retold goes beyond | of the awardwinning | of mythology retold | of empires franchise | mythology retold goes | mythical age where,age of | retold goes | mythology retold | mythical age | monsters humans | monsters and | humans collide | history to | history mythical | history a,where gods monsters | to history mythical | the creators of | the awardwinning age | retold goes beyond | of mythology retold | of empires franchise | of creators awardwinning | mythology retold goes | mythical age where,NNP | IN | NNS | DT | VBP | NN | JJ | WRB | VBZ | TO,"[('Empires', 'franchise'), ('Mythology', 'Retold'), ('Retold', 'goes'), ('award', 'winning'), ('beyond', 'history'), ('gods', 'monsters'), ('goes', 'beyond'), ('humans', 'collide'), ('mythical', 'age'), ('franchise', 'Age')]"
Anno_1800.txt,45,0.7555555555555555,4.488888888888889,world | industrial | â€“ | welcome | revolution | remembers | path | name | liberator | lead,the industrial | â€“ lead | your world | your name | you choose | you an | world remembers | world are | will define | welcome to,â€“ lead the | your world are | your name is | you choose will | you anno 1800â„¢ | you an innovator | world remembers your | world are you | will define your | welcome to the,â€“ lead | world remembers | world are | welcome to | welcome the | welcome dawn | the path | revolution welcome | remembers your | remembers name,â€“ lead the | your world are | your name is | you choose will | you are innovator | you anno 1800â„¢ | world remembers your | world are you | will define your | welcome welcome the,NNP | NN | DT | PRP | VBZ | TO | PRP$ | JJ | CC | WRB,"[('Age', 'The'), ('Anno', '1800â'), ('Revolution', 'Welcome'), ('The', 'path'), ('liberator', 'How'), ('Industrial', 'Age'), ('Industrial', 'Revolution'), ('world', 'Are'), ('world', 'remembers')]"
Balatro.txt,23,0.9565217391304348,6.956521739130435,poker | trigger | satisfying | roguelike | play | outrageous | jokers | illegal | hypnotically | hands,you play | where you | trigger adrenalinepumping | the poker | satisfying deckbuilder | roguelike balatro | poker roguelike | poker hands | play illegal | outrageous combos,you play illegal | where you play | trigger adrenalinepumping outrageous | the poker roguelike | satisfying deckbuilder where | roguelike balatro is | poker roguelike balatro | poker hands discover | play illegal poker | jokers and trigger,trigger adrenalinepumping | the poker | satisfying deckbuilder | roguelike balatro | poker roguelike | poker hands | play illegal | outrageous combos | jokers trigger | jokers and,you play illegal | where deckbuilder play | trigger adrenalinepumping outrageous | the poker roguelike | satisfying deckbuilder where | roguelike balatro is | poker roguelike balatro | poker hands discover | play illegal poker | jokers jokers trigger,JJ | NN | VBZ | RB | NNS | DT | WRB | VBP | PRP | NNP,"[('adrenaline', 'pumping'), ('changing', 'jokers'), ('discover', 'game'), ('game', 'changing'), ('hands', 'discover'), ('hypnotically', 'satisfying'), ('outrageous', 'combos'), ('play', 'illegal'), ('pumping', 'outrageous'), ('roguelike', 'Balatro')]"
Bellwright.txt,47,0.8085106382978723,4.829787234042553,villagers | valor | settlements | recruit | prove | people | others | life | liberate | leave,yourself as | your valor | your people | your own | your forces | your cause | you had | while learning | villagers and | valor through,yourself as the | your valor through | your own settlements | your forces prove | your cause while | you had to | while learning more | villagers and recruit | valor through combat | to your cause,villagers recruit | villagers and | valor through | valor combat | settlements liberate | recruit others | prove your | prove valor | others your | others to,yourself cement the | your valor through | your forces prove | your expand settlements | your cause while | you life to | while learning more | villagers villagers recruit | valor valor combat | to others cause,NN | PRP$ | IN | NNS | VB | CC | DT | TO | PRP | JJ,"[('behind', 'Command'), ('forces', 'prove'), ('leave', 'behind'), ('recruit', 'others'), ('settlements', 'liberate')]"
Bloons_TD_6.txt,30,0.9333333333333333,4.433333333333334,hours | tower | strategy | ready | massive | give | get | gaming | game | ever,you hours | tower defense | to give | the bloons | the best | than ever | strategy gaming | ready for | of the | massive 3d,you hours and | tower defense game | to give you | the bloons are | the best strategy | than ever get | strategy gaming available | ready for a | of the best | massive 3d tower,tower defense | the bloons | strategy gaming | ready massive | ready for | ready a | massive 3d | hours the | hours of | hours hours,you hours and | tower defense game | to give you | the bloons are | the best strategy | than ever get | strategy gaming available | ready ready a | of hours best | massive 3d tower,NN | NNS | JJ | IN | DT | CC | VBP | VBN | VBG | VB,"[('Get', 'ready'), ('The', 'Bloons'), ('best', 'strategy'), ('defense', 'game'), ('ever', 'Get'), ('game', 'designed'), ('gaming', 'available'), ('strategy', 'gaming'), ('tower', 'defense')]"
Call_to_Arms__Gates_of_Hell_Ostfront.txt,43,0.9534883720930233,4.5813953488372094,world | war | value | types | troops | singleplayer | serious | rtt | rts | replay,you ready | world war | war 2 | value command | types of | troops in | to arms | that offers | some serious | singleplayer dynamic,you ready for | world war 2 | value command all | types of troops | troops in historical | to arms  | that offers endless | some serious immersion | singleplayer dynamic campaign | serious immersion in,world war | war 2 | value command | types troops | types of | troops in | troops historical | singleplayer dynamic | serious immersion | rtt game,you ready for | world war 2 | value command all | types types troops | troops troops historical | to arms  | that offers endless | some serious immersion | singleplayer dynamic campaign | serious immersion in,NNP | NN | JJ | IN | NNS | DT | VBZ | WDT | VBP | VB,"[('Arms', 'Gates'), ('PvE', 'battles'), ('RTS', 'RTT'), ('RTT', 'game'), ('World', 'War'), ('battles', 'Are'), ('campaign', 'PvP'), ('dynamic', 'campaign'), ('endless', 'replay'), ('historical', 'singleplayer')]"
Cities_Skylines.txt,42,0.7857142857142857,5.309523809523809,city | game | whilst | well-established | tropes | thrill | take | skylines | simulation | realize,whilst expanding | wellestablished tropes | tropes of | to realize | thrill and | the thrill | the game | the classic | the city | take on,whilst expanding on | wellestablished tropes of | tropes of the | to realize the | thrill and hardships | the thrill and | the game introduces | the classic city | the city building | take on the,whilst expanding | wellestablished tropes | tropes the | tropes of | tropes city | thrill hardships | thrill and | the game | take the | take on,whilst expanding on | wellestablished tropes of | tropes tropes the | to realize the | thrill thrill hardships | the thrill and | the game introduces | the classic city | the city building | take take the,NN | DT | JJ | IN | VBG | NNS | VBZ | NNP | CC | VB,"[('Cities', 'Skylines'), ('building', 'experience'), ('established', 'tropes'), ('introduces', 'new'), ('modern', 'take'), ('play', 'elements'), ('simulation', 'The'), ('well', 'established'), ('whilst', 'expanding'), ('The', 'game')]"
